"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
33233,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",1,"Biyaya","","Parish","Parish"
33234,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",2,"Central","","Parish","Parish"
33235,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",3,"Cesia","","Parish","Parish"
33236,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",4,"Esia","","Parish","Parish"
33237,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",5,"Jihwa","","Parish","Parish"
33238,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",6,"Lajopi","","Parish","Parish"
33239,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",7,"Marindi","","Parish","Parish"
33240,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",8,"Omi","","Parish","Parish"
33241,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",9,"Openzinzi","","Parish","Parish"
33242,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",10,"Gulinya","","Parish","Parish"
33243,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",11,"Kiraba","","Parish","Parish"
33244,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",12,"Loa","","Parish","Parish"
33245,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",13,"Maaji","","Parish","Parish"
33246,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",14,"Mugi","","Parish","Parish"
33247,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",15,"Okangali","","Parish","Parish"
33248,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",16,"Opejo","","Parish","Parish"
33249,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",17,"Ajugopi","","Parish","Parish"
33250,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",18,"Arinyapi","","Parish","Parish"
33251,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",19,"Elegu","","Parish","Parish"
33252,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",20,"Liri","","Parish","Parish"
33253,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",21,"Logoangwa","","Parish","Parish"
33254,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",22,"Mgbwere","","Parish","Parish"
33255,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",23,"Miniki","","Parish","Parish"
33256,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",24,"Bacere","","Parish","Parish"
33257,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",25,"Itirikwa","","Parish","Parish"
33258,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",26,"Odu","","Parish","Parish"
33259,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",27,"Subbe","","Parish","Parish"
33260,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",28,"Tianyu","","Parish","Parish"
33261,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",29,"Zoka","","Parish","Parish"
33262,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",30,"Ataboo Central","","Parish","Parish"
33263,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",31,"Boroli","","Parish","Parish"
33264,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",32,"Fuda","","Parish","Parish"
33265,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",33,"Lewa","","Parish","Parish"
33266,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",34,"Meliaderi","","Parish","Parish"
33267,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",35,"Pereci","","Parish","Parish"
33268,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",36,"Zoka Fr","","Parish","Parish"
33269,236,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke",37,"Akwiridid","","Parish","Parish"
33270,236,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke",38,"Apach","","Parish","Parish"
33271,236,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke",39,"Apuru","","Parish","Parish"
33272,236,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke",40,"Ogwangacuma","","Parish","Parish"
33273,236,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke",41,"Opeta","","Parish","Parish"
33274,236,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo",42,"Abeli","","Parish","Parish"
33275,236,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo",43,"Adyang","","Parish","Parish"
33276,236,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo",44,"Adyeda","","Parish","Parish"
33277,236,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo",45,"Bar-Akalo","","Parish","Parish"
33278,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",46,"Adelogo","","Parish","Parish"
33279,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",47,"Alito","","Parish","Parish"
33280,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",48,"Apala","","Parish","Parish"
33281,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",49,"Ayala","","Parish","Parish"
33282,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",50,"Ayara","","Parish","Parish"
33283,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",51,"Okwerodot","","Parish","Parish"
33284,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",52,"Otkwac","","Parish","Parish"
33285,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",53,"Abur","","Parish","Parish"
33286,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",54,"Alemi","","Parish","Parish"
33287,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",55,"Ayer","","Parish","Parish"
33288,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",56,"Ilera","","Parish","Parish"
33289,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",57,"Okwor","","Parish","Parish"
33290,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",58,"Telela","","Parish","Parish"
33291,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",59,"Agege I","","Parish","Parish"
33292,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",60,"Aumi","","Parish","Parish"
33293,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",61,"Bala","","Parish","Parish"
33294,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",62,"Omolo-Adyang","","Parish","Parish"
33295,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",63,"Omuge","","Parish","Parish"
33296,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",64,"Omwara","","Parish","Parish"
33297,236,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola",65,"Abany","","Parish","Parish"
33298,236,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola",66,"Abwong","","Parish","Parish"
33299,236,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola",67,"Acungi","","Parish","Parish"
33300,236,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola",68,"Akali","","Parish","Parish"
33301,236,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola",69,"Amorigoga","","Parish","Parish"
33302,236,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku",70,"Aboko","","Parish","Parish"
33303,236,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku",71,"Adyeda","","Parish","Parish"
33304,236,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku",72,"Alira","","Parish","Parish"
33305,236,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku",73,"Apire","","Parish","Parish"
33306,236,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku",74,"Ongoceng","","Parish","Parish"
33307,236,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente",75,"Acenlworo","","Parish","Parish"
33308,236,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente",76,"Alido","","Parish","Parish"
33309,236,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente",77,"Atongtidi","","Parish","Parish"
33310,236,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente",78,"Atule","","Parish","Parish"
33311,236,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo",79,"Abedmot","","Parish","Parish"
33312,236,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo",80,"Agwiciri","","Parish","Parish"
33313,236,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo",81,"Ajok","","Parish","Parish"
33314,236,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo",82,"Banya","","Parish","Parish"
33315,236,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo",83,"Inomo","","Parish","Parish"
33316,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",84,"Abuli","","Parish","Parish"
33317,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",85,"Acaba","","Parish","Parish"
33318,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",86,"Anwangi","","Parish","Parish"
33319,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",87,"Aornga","","Parish","Parish"
33320,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",88,"Ayabi","","Parish","Parish"
33321,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",89,"Bung","","Parish","Parish"
33322,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",90,"Owiny","","Parish","Parish"
33323,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",91,"Akokoro","","Parish","Parish"
33324,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",92,"Alaro","","Parish","Parish"
33325,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",93,"Amun","","Parish","Parish"
33326,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",94,"Apoi","","Parish","Parish"
33327,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",95,"Awila","","Parish","Parish"
33328,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",96,"Ayago","","Parish","Parish"
33329,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",97,"Ayeolyec","","Parish","Parish"
33330,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",98,"Kungu","","Parish","Parish"
33331,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",99,"Maruzi Hill Fr","","Parish","Parish"
33332,236,"UGA","Uganda",2,"Apac",4,"Maruzi",18,"Apac Tc",100,"Eastern Ward","","Parish","Parish"
33333,236,"UGA","Uganda",2,"Apac",4,"Maruzi",18,"Apac Tc",101,"Western Ward","","Parish","Parish"
33334,236,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac",102,"Abedi","","Parish","Parish"
33335,236,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac",103,"Akere","","Parish","Parish"
33336,236,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac",104,"Atana","","Parish","Parish"
33337,236,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac",105,"Atopi","","Parish","Parish"
33338,236,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac",106,"Eastern Ward","","Parish","Parish"
33339,236,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere",107,"Atigo-Lwok","","Parish","Parish"
33340,236,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere",108,"Barodilo","","Parish","Parish"
33341,236,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere",109,"Cegere","","Parish","Parish"
33342,236,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere",110,"Kadilani","","Parish","Parish"
33343,236,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere",111,"Teboke","","Parish","Parish"
33344,236,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje",112,"Aganga","","Parish","Parish"
33345,236,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje",113,"Aketo","","Parish","Parish"
33346,236,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje",114,"Alworoceng","","Parish","Parish"
33347,236,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje",115,"Amii","","Parish","Parish"
33348,236,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje",116,"Tarogali","","Parish","Parish"
33349,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",117,"Adyegi","","Parish","Parish"
33350,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",118,"Akaka","","Parish","Parish"
33351,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",119,"Atura","","Parish","Parish"
33352,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",120,"Kamdini","","Parish","Parish"
33353,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",121,"Ocini","","Parish","Parish"
33354,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",122,"Pukica","","Parish","Parish"
33355,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",123,"Wirao","","Parish","Parish"
33356,236,"UGA","Uganda",2,"Apac",5,"Oyam",23,"Achaba",124,"Abanya","","Parish","Parish"
33357,236,"UGA","Uganda",2,"Apac",5,"Oyam",23,"Achaba",125,"Anyeke","","Parish","Parish"
